gene	frequency	observed	mean	median	pattern	pval	pvalr
Eepd1	5.5	89	2.5	1.0	Inactivating	6.58e-06	1174
Vps13a	8.5	200	2.4	1.0	Inactivating	1.22e-05	1175
Sorbs1	7.4	174	3.3	1.0	Inactivating	1.29e-05	1176
Tbcd	6.0	141	2.9	1.0	Inactivating	1.3e-05	1177
Pcca	11.8	278	3.3	1.0	Inactivating	1.43e-05	1178
Pign	6.4	62	3.3	1.5	Indeterminate	1.54e-05	1179
Zfp704	6.5	154	3.6	1.0	Inactivating	1.97e-05	1180
Msra	10.6	249	3.2	2.0	Inactivating	2.24e-05	1181
Sox5	13.3	313	3.7	2.0	Inactivating	2.73e-05	1182
Mycbp2	10.4	244	2.9	1.0	Inactivating	3.61e-05	1183
Wwtr1	5.4	126	3.7	1.0	Inactivating	3.97e-05	1184
Nck2	5.4	52	2.8	2.0	Inactivating	4.52e-05	1185
Smchd1	5.9	140	4.3	1.0	Inactivating	6.64e-05	1186
Atf6	7.0	68	4.2	2.0	Indeterminate	7.03e-05	1187
Meis2	8.2	192	3.2	1.0	Inactivating	7.05e-05	1188
Ppp2r3a	7.2	115	2.7	1.0	Inactivating	8.15e-05	1189
Gpc4	5.1	121	7.1	1.0	Inactivating	0.000224	1190
Pikfyve	5.1	49	2.7	2.0	Inactivating	0.000267	1191
Ptpn4	8.0	77	2.8	1.0	Inactivating	0.000301	1192
Sik2	6.2	100	2.2	1.0	Inactivating	0.000346	1193
Rapgef4	9.2	217	2.7	1.0	Inactivating	0.000349	1194
Cast	5.0	118	3.4	1.0	Inactivating	0.000379	1195
Nav2	15.8	372	5.8	1.0	Inactivating	0.000409	1196
Etl4	15.2	358	2.7	1.0	Inactivating	0.000529	1197
Rap1gds1	6.7	157	4.3	2.0	Inactivating	0.00064	1198
Sil1	8.0	188	3.1	1.0	Inactivating	0.000679	1199
Galnt7	5.2	122	2.4	1.0	Inactivating	0.000924	1200
Myo1b	6.4	62	5.2	2.0	Inactivating	0.00101	1201
Cped1	9.6	226	3.6	1.0	Inactivating	0.00159	1202
Sh3pxd2a	5.5	130	3.9	2.0	Inactivating	0.00189	1203
Tle4	6.8	160	3.8	2.0	Inactivating	0.00191	1204
Ahcyl2	6.2	146	4.7	2.0	Inactivating	0.00232	1205
Inadl	11.1	237	2.7	2.0	Inactivating	0.00235	1206
Mecom	17.6	415	3.8	2.0	Inactivating	0.00252	1207
Slco3a1	8.8	207	3.5	1.0	Inactivating	0.00273	1208
Ola1	5.9	140	4.5	2.0	Inactivating	0.00283	1209
Hivep2	7.3	171	4.4	2.0	Inactivating	0.00305	1210
Eftud1	5.1	121	2.9	1.0	Inactivating	0.00305	1211
Cdc42bpa	8.3	80	6.8	1.5	Inactivating	0.00336	1212
