gene	frequency	observed	mean	median	pattern	pval	pvalr
Kdm2a	10.9	256	4.0	1.0	Inactivating	8.16e-157	241
Ppm1a	6.7	157	3.8	1.0	Inactivating	8.46e-157	242
Numb	14.0	329	3.5	1.0	Inactivating	7.02e-156	243
Cd2ap	11.4	269	2.8	1.0	Inactivating	8.54e-156	244
Wasl	8.8	208	4.1	1.0	Inactivating	2.19e-155	245
Rbm47	12.7	299	5.6	2.0	Inactivating	9.53e-155	246
Phf12	7.1	168	2.8	1.0	Inactivating	9.87e-155	247
Zfp91	6.5	154	2.4	1.0	Inactivating	3.05e-154	248
Chuk	6.8	159	35.2	2.0	Inactivating	4.79e-154	249
Canx	6.3	149	4.2	1.0	Inactivating	4.86e-154	250
Ptbp3	11.8	252	7.4	1.0	Inactivating	5.71e-154	251
Taok3	12.4	292	4.0	2.0	Inactivating	2.56e-153	252
Actn4	7.6	178	2.9	1.0	Inactivating	3.84e-153	253
Snrk	8.9	143	2.3	1.0	Inactivating	1.41e-152	254
G3bp1	5.4	128	4.0	1.0	Inactivating	1.9e-152	255
1810013L24Rik	5.7	135	3.0	1.0	Inactivating	4.41e-152	256
Myh9	7.6	178	3.7	2.0	Inactivating	6.07e-152	257
Man2a1	15.0	352	8.3	2.0	Inactivating	2.13e-151	258
Rxra	7.7	182	7.3	2.0	Inactivating	7.93e-151	259
Mkl2	14.4	340	3.3	2.0	Inactivating	8.25e-150	260
Mtmr3	12.6	296	3.2	1.0	Inactivating	9.1e-150	261
Rad23b	7.8	167	5.4	2.0	Inactivating	2.68e-149	262
Arl8b	6.9	162	3.6	1.0	Inactivating	9.47e-149	263
D5Ertd579e	8.5	200	3.9	2.0	Inactivating	1.91e-148	264
Chd2	12.4	293	3.5	1.0	Inactivating	5.74e-148	265
Rnf43	8.2	194	13.7	2.0	Inactivating	8.31e-147	266
Dnajb6	7.2	170	5.9	1.0	Inactivating	7.84e-146	267
Evi5	13.9	327	6.1	2.0	Inactivating	9.36e-146	268
Azin1	6.5	153	5.5	2.0	Inactivating	1.43e-145	269
Map4k3	14.1	333	3.5	1.0	Inactivating	5.5e-144	270
Ube2k	8.9	209	6.3	2.0	Inactivating	6.98e-143	271
Ambra1	16.6	391	4.8	2.0	Inactivating	1.43e-142	272
Rab6a	6.6	155	2.7	1.0	Inactivating	1.83e-142	273
Syncrip	8.2	132	4.5	1.0	Inactivating	3.54e-142	274
Papola	8.3	195	2.8	1.0	Inactivating	1.2e-141	275
AI314180	14.7	315	4.7	2.0	Inactivating	1.95e-141	276
Tcerg1	9.5	224	3.4	1.0	Inactivating	1.96e-141	277
Cdk13	12.0	282	3.8	2.0	Inactivating	2.75e-141	278
Tsc22d2	9.3	220	4.2	1.0	Inactivating	5.69e-141	279
Top1	10.6	250	3.1	1.0	Inactivating	6.14e-141	280
Ythdf2	5.5	118	3.1	1.0	Indeterminate	8.78e-141	281
Usp10	5.9	139	16.2	2.0	Inactivating	1.44e-140	282
Usp47	11.6	272	3.6	2.0	Inactivating	1.52e-140	283
Smek2	8.6	202	6.0	2.0	Inactivating	5.12e-140	284
Mbnl1	16.4	385	3.6	2.0	Inactivating	6.11e-140	285
Arid4b	14.4	340	4.7	1.0	Inactivating	8.01e-140	286
Crkl	6.1	144	3.3	1.0	Inactivating	1.56e-139	287
Fbxw11	11.2	263	2.8	1.0	Inactivating	1.61e-139	288
Fndc3b	19.8	465	4.8	2.0	Inactivating	1.95e-139	289
Gpatch8	9.9	232	3.8	2.0	Inactivating	2.02e-139	290
Ube2r2	8.1	174	2.7	1.0	Inactivating	2.09e-139	291
Maea	5.9	138	3.6	1.0	Inactivating	5.16e-139	292
Mark2	7.4	175	4.1	1.0	Inactivating	1.45e-137	293
Trpm7	11.5	270	3.1	2.0	Inactivating	4.89e-137	294
Rbm5	6.9	111	3.0	1.0	Inactivating	5.28e-137	295
Arnt	8.8	206	2.8	1.0	Inactivating	3.79e-136	296
Etv6	16.8	396	3.7	2.0	Inactivating	7.32e-136	297
Spin1	7.0	164	12.9	1.0	Inactivating	1.41e-135	298
Arid2	12.4	291	3.0	1.0	Inactivating	4.3e-135	299
Stk24	8.8	206	4.6	2.0	Inactivating	1.28e-134	300
Grb2	7.4	174	3.4	1.0	Inactivating	1.38e-132	301
Ehmt1	12.4	291	3.0	1.0	Inactivating	1.55e-132	302
Pard3	30.2	710	5.2	2.0	Inactivating	1.76e-132	303
Smg1	12.4	291	3.9	1.0	Inactivating	2.53e-132	304
Chka	6.3	148	3.9	1.0	Inactivating	1.91e-131	305
Rap1b	5.7	134	4.9	1.5	Inactivating	2.47e-131	306
Nfatc3	9.3	219	3.1	1.0	Inactivating	3.6e-131	307
Adk	26.9	633	5.1	2.0	Inactivating	5.79e-131	308
Atad2b	13.7	323	3.1	1.0	Inactivating	7.53e-131	309
Fchsd2	16.7	394	3.6	1.0	Inactivating	1.15e-130	310
Map3k1	7.6	179	5.5	2.0	Inactivating	1.78e-130	311
Epc2	12.1	286	7.2	1.0	Inactivating	2.04e-130	312
Strn3	11.2	264	3.4	1.5	Inactivating	4.02e-130	313
Rap1a	10.1	237	3.2	2.0	Inactivating	6.89e-130	314
Prpf39	6.0	142	4.2	1.0	Inactivating	9.64e-130	315
Appbp2	6.7	157	4.2	1.0	Inactivating	1.22e-129	316
Cmip	12.6	297	6.3	2.0	Inactivating	1.31e-129	317
Asxl1	7.8	183	3.2	1.0	Inactivating	1.34e-129	318
Onecut2	7.3	173	3.2	1.0	Inactivating	2.24e-129	319
Btbd7	10.7	252	3.2	1.0	Inactivating	3.5e-129	320
Xrn2	9.6	227	2.8	1.0	Inactivating	1.06e-128	321
Pdcd6ip	9.5	152	2.4	1.0	Inactivating	1.45e-128	322
Senp6	12.3	198	3.3	1.0	Inactivating	3.55e-128	323
Papd5	7.7	181	4.6	1.0	Inactivating	1.33e-127	324
Naa15	8.9	209	2.9	1.0	Inactivating	3.47e-127	325
Ubl3	7.1	166	3.8	1.0	Inactivating	1.89e-126	326
Ctage5	8.0	189	2.7	1.0	Inactivating	2.45e-126	327
Ptprk	31.9	750	4.8	2.0	Inactivating	3.2e-126	328
Zranb1	6.3	149	3.3	1.0	Inactivating	7.05e-126	329
Arhgap35	11.2	264	8.6	1.5	Inactivating	1.07e-125	330
Cdh1	7.2	170	8.0	1.0	Inactivating	3.09e-125	331
Vps13d	17.3	370	3.1	2.0	Inactivating	5.92e-125	332
Ern1	9.6	226	7.2	1.0	Inactivating	6.78e-125	333
Papd4	7.8	184	6.1	2.0	Inactivating	1.64e-124	334
Capza2	6.1	143	3.7	1.0	Inactivating	1.62e-123	335
Brwd1	9.4	222	3.2	1.0	Inactivating	7.83e-123	336
Brd1	5.6	132	3.2	1.0	Inactivating	1.33e-122	337
Psmd11	6.4	151	2.6	1.0	Inactivating	2.4e-122	338
Rnf19a	7.0	164	2.9	1.0	Inactivating	9.84e-122	339
Lats1	5.9	138	3.3	1.0	Inactivating	2.69e-121	340
Slmap	13.1	308	4.9	2.0	Inactivating	7.46e-120	341
Fbxo3	6.3	148	3.1	1.0	Inactivating	9.93e-120	342
Hspa4	6.0	141	5.9	1.0	Inactivating	1.12e-119	343
Rprd2	7.4	175	2.5	1.0	Inactivating	4.63e-119	344
Tmcc1	15.0	354	3.4	1.0	Inactivating	7.18e-119	345
Tcf7l2	13.6	320	9.0	2.0	Inactivating	8.05e-119	346
Ranbp2	7.7	181	5.1	1.0	Inactivating	1.06e-118	347
Akap13	21.0	495	5.1	2.0	Inactivating	1.37e-118	348
Gatad2a	8.3	195	6.4	2.0	Inactivating	1.41e-118	349
Cep85l	11.8	277	4.0	1.0	Inactivating	2.2e-118	350
Cyb5b	5.5	129	2.9	1.0	Indeterminate	3.75e-118	351
Nploc4	6.6	156	4.4	1.0	Inactivating	4.16e-118	352
Khdrbs1	6.3	134	4.7	1.0	Inactivating	7.1e-118	353
Rai1	8.2	193	6.1	1.0	Inactivating	9.35e-118	354
Atp8b1	11.7	275	4.7	2.0	Inactivating	1.04e-117	355
Rbfox2	16.8	396	4.8	2.0	Inactivating	7.53e-117	356
Luc7l	5.1	121	4.0	1.0	Inactivating	9.31e-117	357
Capzb	8.3	177	3.6	2.0	Inactivating	3.9e-116	358
Wwp1	12.0	257	3.3	1.0	Inactivating	2.81e-115	359
Tomm70a	6.1	144	2.9	1.0	Inactivating	3.49e-115	360
Pogz	6.5	153	4.6	1.0	Inactivating	1.1e-114	361
Chic2	6.3	148	4.2	1.0	Inactivating	4.56e-114	362
Lsm14a	6.7	158	2.9	1.0	Inactivating	7.84e-114	363
Taf15	6.2	145	3.4	2.0	Inactivating	2.65e-113	364
Fbxo11	9.3	218	3.3	2.0	Inactivating	3.98e-113	365
Rybp	8.0	188	3.1	1.0	Inactivating	5.2e-113	366
Abca1	11.6	247	4.4	2.0	Inactivating	1.09e-112	367
Kdm1a	7.7	165	9.7	1.0	Inactivating	3.52e-112	368
Foxj3	10.7	229	4.2	1.0	Inactivating	1.54e-111	369
Epb4.1	13.8	295	2.7	1.0	Inactivating	1.8e-111	370
Rtn3	7.6	179	10.4	1.0	Inactivating	3.08e-111	371
Spred1	8.7	205	6.2	1.0	Inactivating	5.68e-111	372
Cul3	12.8	124	9.9	2.0	Inactivating	1.16e-110	373
Ell	5.2	122	7.8	2.0	Inactivating	4.29e-110	374
Qrich1	7.2	116	4.0	1.0	Inactivating	4.88e-110	375
Sypl	5.4	126	4.1	1.0	Inactivating	1.76e-109	376
Ahcyl1	5.7	135	2.6	1.0	Inactivating	2.65e-109	377
Lpin2	7.8	183	3.7	2.0	Inactivating	7.74e-109	378
Nfia	30.9	660	5.2	2.0	Inactivating	1.39e-108	379
Chchd3	19.1	449	3.4	1.0	Inactivating	2.3e-108	380
Rian	7.7	182	90.6	22.5	Inactivating	2.35e-108	381
Map3k2	9.2	217	5.9	1.0	Inactivating	2.54e-108	382
Cpsf6	6.0	141	6.2	1.0	Inactivating	3.12e-108	383
Kcnq1ot1	9.1	215	4.0	1.0	Inactivating	5.68e-108	384
Glud1	5.3	125	3.5	1.0	Inactivating	6.85e-108	385
Rasa1	10.5	248	11.7	2.0	Inactivating	1.05e-107	386
Rock1	12.4	293	4.0	2.0	Inactivating	4.7e-107	387
Trpc4ap	6.8	159	6.7	1.0	Inactivating	1.82e-106	388
Vgll4	5.9	139	5.2	1.0	Inactivating	2.16e-106	389
Whsc1l1	10.9	257	3.8	1.0	Inactivating	2.65e-106	390
Otud4	6.2	145	5.8	1.0	Inactivating	6.03e-106	391
Asxl2	9.4	221	5.6	1.0	Inactivating	7.05e-106	392
Notch2	10.5	248	5.2	1.0	Inactivating	1.02e-105	393
Mbnl2	12.4	291	4.6	1.0	Inactivating	1.27e-105	394
Txnl1	5.6	131	5.2	2.0	Inactivating	1.58e-105	395
Cers6	17.5	411	3.5	1.0	Inactivating	1.83e-105	396
Dennd4c	10.9	233	2.8	1.0	Inactivating	3.74e-105	397
Morf4l1	5.2	84	2.8	1.0	Inactivating	9.46e-105	398
Trim33	9.9	232	4.0	2.0	Inactivating	2.14e-104	399
Ccar1	6.8	159	3.9	1.0	Inactivating	7.14e-103	400
Znrf3	13.3	313	6.1	1.0	Inactivating	6.09e-102	401
Cand1	5.9	138	2.6	1.0	Inactivating	6.29e-101	402
Aplp2	8.8	141	3.1	1.0	Inactivating	1.71e-100	403
Tbl1xr1	12.6	297	4.4	2.0	Inactivating	3.04e-100	404
Ndfip1	6.4	151	2.7	1.0	Inactivating	3.16e-100	405
Pcgf3	5.5	130	6.5	1.0	Inactivating	3.61e-100	406
Magi3	16.5	389	4.3	2.0	Inactivating	3.95e-100	407
Med15	7.3	172	5.5	2.0	Inactivating	5.58e-100	408
Gnaq	17.8	420	3.5	2.0	Inactivating	8.87e-100	409
Rsf1	11.6	272	4.3	1.0	Inactivating	2.83e-99	410
Fnbp1l	9.9	232	3.5	1.0	Inactivating	4.71e-99	411
Usp15	10.4	244	2.6	1.0	Inactivating	2.52e-98	412
Aftph	7.5	176	4.0	2.0	Inactivating	2.64e-98	413
Gclc	6.7	108	3.8	1.0	Inactivating	3.29e-98	414
Srsf11	5.0	118	6.2	1.0	Inactivating	6.84e-98	415
Gpbp1l1	6.0	128	3.1	1.0	Inactivating	1.36e-97	416
Cnot6l	10.7	251	4.0	1.0	Inactivating	2.57e-97	417
Nfyc	8.8	188	3.6	1.0	Inactivating	3.95e-97	418
Ell2	8.2	193	3.2	2.0	Inactivating	4.19e-97	419
Ubr4	8.8	188	3.8	1.0	Inactivating	5.04e-97	420
Rbm26	8.5	201	3.9	1.0	Inactivating	7.36e-97	421
Tbl1x	13.0	307	4.8	1.0	Inactivating	8.11e-97	422
Peli1	7.5	177	3.3	2.0	Inactivating	1.8e-96	423
Rbm25	7.3	171	2.6	1.0	Inactivating	2.81e-96	424
Pak2	7.1	168	4.7	2.0	Inactivating	4.3e-96	425
Rhot1	7.2	169	3.4	1.0	Inactivating	5.06e-96	426
Hsd17b12	11.7	275	3.0	1.0	Inactivating	5.18e-96	427
Magi1	29.9	705	4.1	2.0	Inactivating	5.22e-96	428
Insr	10.7	253	3.4	1.0	Inactivating	6.22e-96	429
Fip1l1	8.0	189	3.0	1.0	Inactivating	1.05e-95	430
Prdm2	9.8	210	4.0	1.0	Inactivating	1.77e-95	431
Ireb2	8.7	139	2.4	1.0	Inactivating	1.96e-95	432
Arih2	7.1	114	3.6	1.0	Inactivating	2.12e-95	433
Zfml	9.4	222	3.7	1.0	Inactivating	2.14e-95	434
Dgcr2	5.7	134	5.3	2.0	Inactivating	2.2e-95	435
Zfand6	8.1	190	3.7	1.0	Inactivating	2.42e-95	436
Pacsin2	7.6	180	4.0	1.5	Inactivating	3.64e-95	437
Herc4	8.8	206	3.2	1.0	Inactivating	5.08e-95	438
Ugp2	7.0	165	3.6	1.0	Inactivating	5.47e-95	439
Ncor2	8.8	207	3.7	1.0	Inactivating	6.36e-95	440
Lemd3	7.1	167	2.6	1.0	Inactivating	1.26e-94	441
R3hcc1l	8.7	204	2.9	2.0	Inactivating	1.39e-94	442
Setd3	7.6	180	3.7	1.0	Inactivating	1.5e-94	443
Sik3	16.6	266	4.9	1.0	Inactivating	1.53e-94	444
Ppara	6.8	161	4.3	2.0	Inactivating	1.24e-93	445
Zhx3	9.4	222	4.6	2.0	Inactivating	3.23e-93	446
N4bp2l2	5.1	119	3.6	1.0	Inactivating	3.76e-93	447
Cpt1a	5.7	134	4.5	1.0	Inactivating	5.09e-93	448
Numa1	5.1	121	2.7	1.0	Inactivating	6.34e-93	449
Pdxdc1	7.7	182	3.8	2.0	Inactivating	8.16e-93	450
Tjp1	8.7	204	4.4	1.0	Inactivating	2.89e-92	451
Kras	5.7	135	67.7	2.0	Indeterminate	4.83e-92	452
Snx13	10.9	256	3.5	1.0	Inactivating	9.9e-92	453
Kcnq1	17.8	419	4.1	2.0	Inactivating	1.87e-91	454
Pde3b	12.7	298	3.2	1.0	Inactivating	2.97e-91	455
Kdm5a	8.8	208	7.9	1.0	Inactivating	3.34e-91	456
Smad3	9.5	153	5.6	2.0	Inactivating	4.28e-91	457
Nckap1	9.3	220	4.0	1.0	Inactivating	4.42e-91	458
Lrp5	7.3	173	6.0	1.0	Inactivating	7.65e-91	459
Rheb	5.4	128	4.3	1.0	Inactivating	1.32e-90	460
Sec31a	6.5	153	2.5	1.0	Inactivating	5.99e-90	461
Hacd3	5.6	90	3.8	2.0	Inactivating	6.16e-90	462
Hif1a	6.5	152	4.4	1.0	Inactivating	9.59e-90	463
Iqgap2	16.4	387	4.2	2.0	Inactivating	1.28e-89	464
Stau1	5.3	124	1.9	1.0	Inactivating	2.05e-89	465
Fat1	9.3	218	4.9	2.0	Inactivating	2.53e-89	466
Mark3	8.3	195	9.6	2.0	Inactivating	5.76e-89	467
Axin1	6.2	147	7.1	2.0	Inactivating	9.09e-89	468
Tle1	9.8	210	4.3	1.0	Inactivating	1.25e-88	469
Egfr	12.5	295	4.1	2.0	Inactivating	2.32e-88	470
Sarnp	6.8	159	6.2	1.0	Inactivating	2.9e-88	471
A1cf	8.5	199	4.1	2.0	Inactivating	6.49e-88	472
Zcchc7	16.7	356	5.5	1.0	Inactivating	6.76e-88	473
Arhgap21	10.8	255	5.5	2.0	Inactivating	1.04e-87	474
Ankrd13c	6.7	157	3.1	1.0	Inactivating	1.04e-87	475
Fam222b	6.4	150	3.9	2.0	Inactivating	1.88e-87	476
Nr2c2	8.1	191	2.9	1.0	Inactivating	2.7e-87	477
Mtdh	7.8	184	5.1	1.0	Inactivating	2.71e-87	478
Nf1	17.8	419	6.5	2.0	Inactivating	4.1e-87	479
Slc39a14	5.1	121	2.1	1.0	Inactivating	4.34e-87	480
Zzz3	7.7	182	2.6	1.0	Inactivating	7.95e-87	481
Slc22a23	11.9	279	4.2	2.0	Inactivating	2.73e-86	482
Rictor	9.9	234	3.1	1.0	Inactivating	4.64e-86	483
Sf3b3	5.1	120	5.8	1.0	Indeterminate	5.63e-86	484
Trip12	14.1	136	8.4	2.0	Inactivating	5.86e-86	485
Spop	8.4	198	3.4	1.0	Inactivating	8.15e-86	486
Usp6nl	10.7	251	5.4	1.0	Inactivating	1.07e-85	487
Ep400	9.3	219	5.8	1.0	Inactivating	1.39e-85	488
Tmem135	15.0	354	2.8	1.0	Inactivating	3.7e-85	489
Fam214a	9.4	150	2.6	1.0	Inactivating	5.91e-85	490
Ece1	7.2	153	3.2	2.0	Inactivating	6.03e-85	491
Sorbs2os	9.9	232	3.7	1.5	Inactivating	6.39e-85	492
Kat7	5.0	118	7.7	1.0	Inactivating	1.82e-84	493
Nedd4l	17.9	421	3.8	2.0	Inactivating	2.6e-84	494
Clpx	6.3	101	4.0	2.0	Inactivating	2.88e-84	495
Actr2	6.2	145	5.7	1.0	Inactivating	7.77e-84	496
Smad2	7.8	183	4.6	1.0	Inactivating	8.9e-84	497
Trappc8	8.7	204	3.2	1.0	Inactivating	1.13e-83	498
Mllt4	11.2	263	3.0	2.0	Inactivating	1.27e-83	499
Foxp1	24.3	571	7.2	2.0	Inactivating	1.32e-83	500
Mtfr1	5.0	118	2.4	2.0	Inactivating	1.61e-83	501
Kif5b	5.9	139	3.6	1.0	Inactivating	5.44e-83	502
Rsbn1l	7.1	167	2.6	1.0	Inactivating	7.33e-83	503
Garem	12.6	296	4.8	1.0	Inactivating	1.76e-82	504
Gapvd1	7.9	185	3.3	1.0	Inactivating	1.88e-82	505
Slc12a7	5.1	121	3.2	1.0	Inactivating	2.07e-82	506
Cnot6	5.8	136	2.8	1.0	Inactivating	4.17e-82	507
Stag2	12.8	301	6.7	2.0	Inactivating	4.64e-82	508
Ubap1	5.4	115	2.7	1.0	Inactivating	5.62e-82	509
Jak1	10.2	218	3.4	1.0	Inactivating	1.19e-81	510
Erp44	9.5	204	3.9	1.0	Inactivating	1.29e-81	511
Rtn4	6.9	163	2.6	1.0	Inactivating	1.36e-81	512
Pkp4	14.0	329	3.7	1.0	Inactivating	1.52e-81	513
Shb	7.7	165	5.0	1.0	Inactivating	1.94e-81	514
Lurap1l	5.9	127	3.2	1.0	Inactivating	6.06e-81	515
Sptan1	6.4	151	9.2	1.0	Inactivating	1.13e-80	516
Rlf	5.8	124	3.8	1.0	Inactivating	1.28e-80	517
Frs2	7.8	183	3.4	1.0	Inactivating	1.59e-80	518
Ptpn2	6.8	159	4.6	1.0	Inactivating	4.79e-80	519
Sbno1	6.5	152	3.5	1.0	Inactivating	5.02e-80	520
Xpo6	8.6	203	3.0	1.0	Inactivating	7.05e-80	521
Rdx	7.2	115	3.0	1.0	Inactivating	7.21e-80	522
Nck1	7.9	126	1.9	1.0	Inactivating	1.14e-79	523
Gnai3	5.3	125	3.4	2.0	Inactivating	1.39e-79	524
Mtss1	9.4	221	3.2	2.0	Inactivating	1.79e-79	525
Elf2	8.3	195	6.1	1.0	Inactivating	2.66e-79	526
Edc3	6.3	101	3.4	2.0	Inactivating	4.25e-79	527
Ptpn12	8.0	189	2.6	1.0	Inactivating	1.05e-78	528
Spen	6.3	135	2.6	1.0	Inactivating	1.22e-78	529
Ints6	9.7	228	3.3	1.0	Inactivating	1.28e-78	530
Lgr4	9.3	218	3.4	1.0	Inactivating	1.39e-78	531
Prrc2b	5.7	135	4.4	1.0	Inactivating	1.43e-78	532
Mef2a	12.0	283	3.1	1.0	Inactivating	2.48e-78	533
Suv420h1	5.6	131	5.1	2.0	Inactivating	4.61e-78	534
Faf1	21.5	459	2.7	1.0	Inactivating	6.29e-78	535
Cbfa2t2	9.2	217	6.3	1.0	Inactivating	6.66e-78	536
Ndufs4	9.6	226	4.2	1.0	Inactivating	7.69e-78	537
Fcho2	9.5	223	4.0	1.0	Inactivating	2.87e-77	538
Atf7	8.0	189	6.1	1.0	Inactivating	4.45e-77	539
Ago2	6.3	149	3.4	1.0	Inactivating	5.12e-77	540
Hipk1	6.1	143	6.7	2.0	Inactivating	5.57e-77	541
Sin3a	7.8	125	2.6	1.0	Inactivating	5.71e-77	542
Stard13	11.2	263	3.3	1.0	Inactivating	9.04e-77	543
Lrrc8d	8.4	197	2.8	1.0	Inactivating	1.11e-76	544
Pkn2	10.0	235	3.3	1.0	Inactivating	1.95e-76	545
Copb1	5.4	127	2.4	1.0	Inactivating	2.65e-76	546
Zfc3h1	6.4	150	4.3	1.0	Inactivating	3.13e-76	547
Ppp4r1	6.2	145	4.6	2.0	Inactivating	3.89e-76	548
Eml4	10.9	257	8.3	2.0	Inactivating	6.49e-76	549
Nup153	6.5	152	3.4	1.0	Inactivating	4.24e-75	550
Stim2	11.2	264	3.1	1.5	Inactivating	7.43e-75	551
Zfp644	8.5	200	2.6	1.0	Inactivating	1.95e-74	552
Eif3h	8.2	192	4.6	2.0	Inactivating	1.96e-74	553
Dag1	7.1	114	2.5	1.0	Inactivating	2.56e-74	554
Cxadr	5.9	139	3.2	1.0	Inactivating	2.79e-74	555
Itgb1	6.2	146	3.3	1.0	Inactivating	2.9e-74	556
Lrig1	7.7	181	3.9	1.0	Inactivating	2.91e-74	557
Col4a3bp	9.9	232	3.3	1.0	Inactivating	6e-74	558
Yap1	8.4	135	2.0	1.0	Inactivating	6.06e-74	559
Rnf13	9.4	222	3.1	1.0	Inactivating	2.36e-73	560
Atl3	5.5	130	3.6	1.0	Inactivating	2.6e-73	561
Acaca	14.5	342	5.1	2.0	Inactivating	3.49e-73	562
Nhlrc2	5.9	140	2.5	1.0	Inactivating	4.47e-73	563
Cdk17	8.2	194	8.7	2.0	Inactivating	4.52e-73	564
Ubr2	6.9	162	3.1	1.0	Inactivating	6.84e-73	565
Pias1	11.2	179	3.0	1.0	Inactivating	7.81e-73	566
Cpeb2	7.1	166	2.9	2.0	Inactivating	8.56e-73	567
Baiap2l1	7.7	182	4.8	1.0	Inactivating	3.53e-72	568
Arhgef26	9.7	229	3.8	1.0	Inactivating	9e-72	569
Zbtb44	7.0	112	2.0	1.0	Inactivating	2.51e-71	570
Tjp2	9.3	219	4.2	1.0	Inactivating	2.67e-71	571
Usp7	5.3	124	2.6	1.0	Inactivating	2.9e-71	572
Wwc1	9.3	218	5.7	1.0	Inactivating	2.93e-71	573
Ubxn7	6.9	162	4.1	1.0	Inactivating	4.42e-71	574
Ppp3r1	5.4	126	11.8	1.0	Inactivating	5e-71	575
Mib1	9.0	211	4.3	1.0	Inactivating	1.09e-70	576
Trak1	8.0	128	3.4	1.0	Inactivating	2.36e-70	577
Rbm6	11.0	177	2.5	1.0	Inactivating	2.62e-70	578
Ptprj	9.5	224	2.9	1.0	Inactivating	3.93e-70	579
Daam1	10.7	252	5.3	2.0	Inactivating	6.34e-70	580
Smarca4	8.0	129	4.0	1.0	Inactivating	6.35e-70	581
Plekha5	11.9	281	3.4	1.0	Inactivating	8.79e-70	582
Rbpms	9.7	229	4.8	1.0	Inactivating	1.03e-69	583
Tnrc6c	8.3	196	4.9	1.0	Inactivating	1.04e-69	584
Trim24	9.0	213	2.5	1.0	Inactivating	1.16e-69	585
Slc35d1	5.4	116	4.1	1.0	Indeterminate	1.97e-69	586
Ghr	16.7	392	5.8	2.0	Inactivating	2.32e-69	587
Cdc42bpb	5.9	140	2.7	1.0	Inactivating	2.69e-69	588
Phactr4	6.5	139	4.2	2.0	Inactivating	3.45e-69	589
Wasf2	6.4	137	5.3	2.0	Inactivating	3.79e-69	590
Ralgapa2	17.0	400	4.1	1.0	Inactivating	4.18e-69	591
Tm9sf2	6.2	145	3.4	2.0	Inactivating	5.2e-69	592
Mtx2	6.8	161	3.5	2.0	Inactivating	7.89e-69	593
Lpp	28.2	664	4.7	2.0	Inactivating	8.08e-69	594
Aff1	7.8	184	2.9	1.0	Inactivating	9.91e-69	595
Pnpla8	5.6	133	2.7	1.0	Inactivating	1.25e-68	596
Fermt2	6.8	161	2.7	1.0	Inactivating	1.27e-68	597
Hsd17b4	6.9	163	2.6	1.0	Inactivating	1.59e-68	598
Clic4	6.0	128	4.9	1.0	Inactivating	1.74e-68	599
8030462N17Rik	8.2	192	5.6	2.0	Inactivating	3.5e-68	600
Gphn	24.6	579	3.5	2.0	Inactivating	7.73e-68	601
Tcf20	8.7	204	5.1	1.0	Inactivating	8.93e-68	602
Ubr3	11.2	263	5.6	1.0	Inactivating	8.99e-68	603
Cyth1	6.4	150	3.2	1.0	Inactivating	1.32e-67	604
Ssbp3	8.7	186	9.3	1.0	Inactivating	2.12e-67	605
Psd3	18.5	435	3.5	1.0	Inactivating	2.3e-67	606
Atrn	10.2	241	2.9	1.0	Inactivating	6.38e-67	607
Zmynd11	7.7	181	5.5	1.0	Inactivating	1.29e-66	608
Cdk8	6.8	161	3.7	1.0	Inactivating	1.82e-66	609
Pik3c2a	9.2	216	2.5	1.0	Inactivating	3.91e-66	610
Sept7	8.7	140	4.2	1.0	Inactivating	5.91e-66	611
Yme1l1	5.8	137	7.0	1.0	Inactivating	6.14e-66	612
Sptbn1	9.5	223	5.1	2.0	Inactivating	1.24e-65	613
Man1a2	10.7	252	3.0	1.0	Inactivating	1.41e-65	614
Lnpep	9.1	214	3.9	1.0	Inactivating	1.9e-65	615
Mier1	6.7	144	6.6	1.5	Inactivating	4.16e-65	616
Dcaf5	7.7	182	4.1	2.0	Inactivating	1.27e-64	617
Dleu2	8.2	192	5.2	1.0	Inactivating	5.09e-64	618
Bptf	7.5	177	3.6	2.0	Inactivating	1.33e-63	619
Suclg2	14.5	341	3.2	2.0	Inactivating	1.59e-63	620
Ccdc50	6.5	152	3.4	1.0	Inactivating	1.94e-63	621
Abl1	7.5	176	4.0	1.0	Inactivating	7.07e-63	622
Slc25a13	11.6	272	3.0	2.0	Inactivating	7.43e-63	623
Otud7b	6.2	146	3.1	1.0	Inactivating	9.77e-63	624
Flnb	9.0	212	4.2	2.0	Inactivating	3.06e-62	625
Tapt1	5.6	133	3.2	2.0	Inactivating	3.23e-62	626
Nup98	8.8	207	4.1	1.0	Inactivating	3.29e-62	627
Arfip1	8.0	189	5.4	1.0	Inactivating	3.74e-62	628
Cstf3	7.9	185	4.6	2.0	Inactivating	5.5e-62	629
Ogdh	6.2	145	4.2	1.0	Inactivating	6.99e-62	630
Tnks	11.0	259	3.4	1.0	Inactivating	7.47e-62	631
Elf1	8.5	199	5.5	2.0	Inactivating	1.16e-61	632
Tbca	6.2	146	4.5	1.0	Inactivating	1.54e-61	633
Clock	8.2	193	4.0	2.0	Inactivating	3.61e-61	634
Dsg2	5.0	118	3.6	1.0	Inactivating	3.89e-61	635
App	13.6	319	7.2	1.0	Inactivating	4.01e-61	636
Ric1	8.0	188	2.7	1.0	Inactivating	5.38e-61	637
Spred2	7.2	170	4.2	2.0	Inactivating	5.59e-61	638
Ncoa6	5.7	134	3.9	1.0	Inactivating	6.51e-61	639
