gene	driver_citations	oncogene_citations	tumor_suppressor_citations	all_citations
CAPN6	0	0	1	1
CAPN9	0	0	1	1
CARD8	0	0	1	1
CARS	1	0	0	1
CASP1	0	0	1	1
CASP9	0	1	0	1
CAST	0	1	0	1
CAVIN3	0	1	0	1
CBFA2T2	0	0	1	1
CBFB	0	1	0	1
CBX1	0	1	0	1
CBX3	0	1	0	1
CBX5	0	1	0	1
CCAR1	0	1	0	1
CCDC136	0	0	1	1
CCDC170	1	0	0	1
CCDC54	0	1	0	1
CCDC88A	0	1	0	1
CCL20	0	1	0	1
CCL3	1	0	0	1
CCL8	1	0	0	1
CCNA2	1	0	0	1
CCNB1	0	1	0	1
CCNF	0	0	1	1
CCNK	0	1	0	1
CCPG1	0	1	0	1
CCR6	1	0	0	1
CCR9	0	1	0	1
CCRL2	0	0	1	1
CCS	1	0	0	1
CCT8	0	1	0	1
CD163	0	1	0	1
CD164	0	0	1	1
CD1A	0	1	0	1
CD1D	0	0	1	1
CD276	0	1	0	1
CD47	1	0	0	1
CD5	0	0	1	1
CD55	0	1	0	1
CD58	0	0	1	1
CD68	1	0	0	1
CD81	0	0	1	1
CD86	1	0	0	1
CD93	0	1	0	1
CD96	0	0	1	1
CDC27	1	0	0	1
CDC45	0	1	0	1
CDH6	0	0	1	1
CDK19	0	1	0	1
CDK5R1	0	0	1	1
CDKL1	0	1	0	1
CDO1	0	0	1	1
CDV3	0	1	0	1
CEACAM19	0	1	0	1
CEBPE	0	1	0	1
CEND1	1	0	0	1
CENPI	0	1	0	1
CEP72	0	1	0	1
CEP78	0	0	1	1
CFH	0	1	0	1
CFLAR	0	1	0	1
CHAF1A	0	1	0	1
CHD7	1	0	0	1
CHD9	0	0	1	1
CHERP	0	1	0	1
CHIC2	1	0	0	1
CHKA	0	1	0	1
CHMP4B	0	1	0	1
CHORDC1	1	0	0	1
CHRDL2	0	1	0	1
CIAO2A	0	0	1	1
CIDEB	0	1	0	1
CIRBP	0	1	0	1
CISH	0	1	0	1
CITED2	0	0	1	1
CKS2	0	1	0	1
CLCN3	0	1	0	1
CLCN4	1	0	0	1
CLDN4	0	1	0	1
CLEC18B	0	1	0	1
CLEC1B	0	1	0	1
CLEC4M	0	1	0	1
CLIC1	0	1	0	1
CLK1	0	1	0	1
CLPTM1L	0	1	0	1
CNKSR1	0	1	0	1
CNMD	0	0	1	1
CNOT7	0	0	1	1
CNPY2	0	1	0	1
CNR2	0	1	0	1
CNTN2	0	0	1	1
CNTN3	1	0	0	1
CNTRL	1	0	0	1
COL1A2	0	0	1	1
COL2A1	1	0	0	1
COL3A1	0	1	0	1
COLQ	0	1	0	1
COMMD10	0	0	1	1
COPA	0	1	0	1
COPZ1	0	1	0	1
COTL1	0	1	0	1
COX2	0	1	0	1
COX4I1	0	1	0	1
CPE	0	1	0	1
CPED1	0	0	1	1
CPM	1	0	0	1
CPNE3	0	1	0	1
CPPED1	0	0	1	1
CPSF4	0	1	0	1
CPT1A	1	0	0	1
CR1	0	0	1	1
CRABP1	0	0	1	1
CRCT1	0	0	1	1
CREB3L1	0	0	1	1
CRH	0	1	0	1
CRMP1	0	0	1	1
CSDE1	0	1	0	1
CSN3	0	1	0	1
CSNK2A1	0	1	0	1
CSPP1	0	1	0	1
CSRP1	0	0	1	1
CST1	0	1	0	1
CST3	0	1	0	1
CSTB	0	1	0	1
CTNNA1	0	0	1	1
CTNNA3	0	0	1	1
CTNNBIP1	1	0	0	1
CTSA	0	1	0	1
CTSB	0	1	0	1
CTSD	0	1	0	1
CTSH	0	1	0	1
CTSZ	0	1	0	1
CUL2	0	1	0	1
CUX2	0	1	0	1
CWC27	0	1	0	1
CXCL17	0	1	0	1
CXCL3	0	1	0	1
CXCR1	0	1	0	1
CXCR2	0	1	0	1
CXCR3	1	0	0	1
CXXC1	0	1	0	1
CXXC5	0	1	0	1
CYB5R2	0	0	1	1
CYP1A1	0	1	0	1
CYP1B1	1	0	0	1
CYP2D6	0	0	1	1
CYP2E1	0	0	1	1
CYP3A4	0	0	1	1
CYP4V2	0	1	0	1
CYSLTR2	0	1	0	1
D2HGDH	1	0	0	1
DAAM1	0	1	0	1
DAB1	0	0	1	1
DAPK3	0	0	1	1
DARS	0	1	0	1
DARS2	0	1	0	1
DAXX	0	1	0	1
DAZAP1	0	1	0	1
DBN1	0	1	0	1
DBX2	0	1	0	1
DCAF6	0	0	1	1
DCLK1	0	0	1	1
DCLK3	0	1	0	1
DDB1	0	1	0	1
DDHD2	0	1	0	1
DDRGK1	0	0	1	1
DDT	0	1	0	1
DDX10	0	1	0	1
DDX23	0	1	0	1
DDX27	0	1	0	1
DEFA6	0	1	0	1
DEFB4A	0	1	0	1
DEPDC1	0	1	0	1
DESI2	1	0	0	1
DFFA	0	1	0	1
DGCR8	0	1	0	1
DGKB	0	1	0	1
DGKG	0	0	1	1
DGKZ	0	1	0	1
DHH	0	1	0	1
DHRS7	0	0	1	1
DHX15	0	0	1	1
DIDO1	0	0	1	1
DIMT1	0	1	0	1
DIRAS2	0	0	1	1
DLG5	0	0	1	1
DLST	1	0	0	1
DLX1	0	1	0	1
DMGDH	0	1	0	1
DMKN	0	1	0	1
DMTN	0	0	1	1
DNAH5	0	1	0	1
DNAJC11	0	0	1	1
DNAJC2	0	0	1	1
DNAJC25	0	0	1	1
DNALI1	0	0	1	1
DND1	0	0	1	1
DNM2	0	1	0	1
DNTTIP1	0	1	0	1
DOC2A	0	0	1	1
DOK6	0	1	0	1
DPH3	0	0	1	1
DPPA4	0	1	0	1
DRAM2	0	1	0	1
DRD1	0	0	1	1
DROSHA	0	0	1	1
DSC2	0	0	1	1
DSCAM	0	1	0	1
DSCC1	0	1	0	1
DSN1	1	0	0	1
DST	1	0	0	1
DTNB	0	0	1	1
DTWD1	0	0	1	1
DTX3L	0	0	1	1
DTYMK	0	1	0	1
DUSP2	0	0	1	1
DYNC1I1	0	1	0	1
DYRK2	0	0	1	1
E2F4	0	1	0	1
EBP	0	0	1	1
EDA2R	0	0	1	1
EDAR	0	0	1	1
EDIL3	1	0	0	1
EED	0	0	1	1
EEF1A1	0	1	0	1
EEF1AKNMT	0	0	1	1
EEF1D	0	1	0	1
EEF1E1	0	0	1	1
EFEMP2	0	1	0	1
EFNA3	0	0	1	1
EFS	0	0	1	1
EGR4	0	1	0	1
EHMT1	0	0	1	1
EIF3A	0	1	0	1
EIF3C	0	1	0	1
EIF3F	0	0	1	1
EIF3H	0	1	0	1
EIF3I	0	1	0	1
EIF4G1	0	1	0	1
ELAVL4	0	1	0	1
ELFN2	0	1	0	1
ELK1	0	1	0	1
ELK4	0	1	0	1
ELL2	0	1	0	1
ELN	1	0	0	1
ELOVL6	0	1	0	1
EMP1	0	0	1	1
ENG	1	0	0	1
ENSA	0	1	0	1
EPB41L1	0	0	1	1
EPC1	0	1	0	1
EPC2	0	1	0	1
EPHA1	0	0	1	1
EPHA4	0	0	1	1
EPHA8	0	1	0	1
EPHB1	0	0	1	1
EPHX2	0	0	1	1
ERBIN	0	0	1	1
ERCC1	0	1	0	1
ERCC6	0	0	1	1
ERCC6L	0	1	0	1
ERCC8	0	1	0	1
ERLIN2	0	1	0	1
ERN1	0	1	0	1
ERO1A	0	1	0	1
ERV3-1	0	0	1	1
ESPN	0	1	0	1
ESRP2	0	1	0	1
ESRRA	0	1	0	1
ETF1	0	0	1	1
ETV3	0	0	1	1
ETV5	0	1	0	1
EVI5	0	1	0	1
EXD3	0	1	0	1
EXOC7	0	1	0	1
EXOSC1	0	0	1	1
EXOSC4	0	1	0	1
EXTL3	0	0	1	1
F3	1	0	0	1
F7	1	0	0	1
FABP1	0	0	1	1
FABP5	1	0	0	1
FABP7	0	0	1	1
FADD	0	1	0	1
FAF1	0	0	1	1
FAM129B	0	1	0	1
FAM3C	0	1	0	1
FAM83F	0	1	0	1
FAM84B	0	1	0	1
FANCA	0	1	0	1
FANCD2	1	0	0	1
FBLN5	0	0	1	1
FBN2	1	0	0	1
FBXL18	0	1	0	1
FBXL5	0	1	0	1
FBXL7	0	0	1	1
FBXO16	0	0	1	1
FBXO28	0	1	0	1
FBXO8	0	0	1	1
FBXO9	0	1	0	1
FBXW12	0	0	1	1
FBXW2	0	0	1	1
FBXW4	0	0	1	1
FBXW5	0	1	0	1
FDPS	0	1	0	1
FECH	0	0	1	1
FER	0	1	0	1
FERMT1	0	1	0	1
FEZF2	0	0	1	1
FGF13	1	0	0	1
FGF23	0	1	0	1
FGL1	0	0	1	1
FGL2	0	1	0	1
FIGN	1	0	0	1
FKBP14	0	1	0	1
FKBP2	0	1	0	1
FLNC	0	0	1	1
FLVCR2	0	1	0	1
FMN2	0	1	0	1
FMNL2	0	1	0	1
FMNL3	0	1	0	1
FMO2	0	0	1	1
FNDC1	0	1	0	1
FNIP1	0	0	1	1
FNIP2	0	0	1	1
FOXE1	0	0	1	1
FOXJ1	0	0	1	1
FOXL1	0	0	1	1
FOXN1	0	0	1	1
FPR1	0	1	0	1
FPR2	0	1	0	1
FRMD6	0	0	1	1
FSHR	0	1	0	1
FSIP1	0	1	0	1
FST	0	1	0	1
FTH1	0	1	0	1
FZD1	0	1	0	1
FZD10	0	1	0	1
FZD6	1	0	0	1
FZD7	0	1	0	1
FZD8	0	1	0	1
G0S2	0	0	1	1
G3BP1	0	1	0	1
GAB1	0	1	0	1
GABARAPL1	0	0	1	1
GABPA	0	0	1	1
GABRQ	0	1	0	1
GAD1	0	1	0	1
GALNT3	0	1	0	1
GALNT7	0	1	0	1
GART	0	1	0	1
GATAD1	0	1	0	1
GBA	0	1	0	1
GCNT3	1	0	0	1
GCNT4	0	1	0	1
GDF6	0	1	0	1
GDI2	0	0	1	1
GDNF	0	1	0	1
GEN1	0	0	1	1
GGA1	0	1	0	1
GGH	0	0	1	1
GGT1	0	1	0	1
GID8	0	1	0	1
GINS2	0	1	0	1
GIP	0	1	0	1
GIPC1	0	0	1	1
GJA3	0	1	0	1
GJB3	0	0	1	1
GKN2	0	0	1	1
GLA	0	1	0	1
GLCE	0	1	0	1
GLUL	0	1	0	1
GMDS	1	0	0	1
GMPR	1	0	0	1
GMPS	0	1	0	1
GNA13	0	1	0	1
GNA14	0	1	0	1
GNG11	0	0	1	1
GNL3	0	1	0	1
GNPAT	0	1	0	1
GNPTAB	0	1	0	1
GNRHR	0	0	1	1
GOLGA2	0	0	1	1
GOLIM4	0	1	0	1
GORAB	0	0	1	1
GOT1	0	1	0	1
GOT2	0	1	0	1
GPC1	0	1	0	1
GPD1	0	0	1	1
GPI	0	1	0	1
GPLD1	1	0	0	1
GPR155	0	0	1	1
GPR35	0	1	0	1
GPR68	0	0	1	1
GPS1	0	0	1	1
GPT2	1	0	0	1
GPX2	0	1	0	1
GRINA	0	1	0	1
GRK3	0	0	1	1
GRM3	0	1	0	1
GSDMA	0	0	1	1
GSK3A	0	1	0	1
GSK3B	0	1	0	1
GSS	0	1	0	1
GSX2	0	0	1	1
GTF2IRD1	1	0	0	1
GTSE1	0	1	0	1
GXYLT2	0	0	1	1
GYS2	0	0	1	1
H2AFY2	0	0	1	1
HADHB	0	0	1	1
HAND2	1	0	0	1
HAT1	0	1	0	1
HAUS3	0	1	0	1
HAVCR2	0	1	0	1
HBB	0	1	0	1
HCFC1	0	0	1	1
HCFC1R1	0	1	0	1
HCK	0	1	0	1
HDAC11	0	0	1	1
HDAC5	0	0	1	1
HDGFL2	0	1	0	1
HECA	0	0	1	1
HES3	0	0	1	1
HEXA	0	0	1	1
HEY2	0	1	0	1
HGD	0	0	1	1
HGS	0	1	0	1
HHATL	0	0	1	1
HHEX	0	1	0	1
HHIP	0	1	0	1
HIF1AN	0	0	1	1
HINT2	0	0	1	1
HIPK2	0	0	1	1
HJURP	0	1	0	1
HK3	1	0	0	1
HLA-B	0	1	0	1
HLA-F	0	1	0	1
HLA-G	0	1	0	1
HLTF	0	0	1	1
HMGCS2	0	1	0	1
HMGN2	0	1	0	1
HNF4G	0	1	0	1
HNRNPD	0	1	0	1
HNRNPL	0	1	0	1
HOMER1	0	1	0	1
HORMAD1	0	1	0	1
HOXB1	0	0	1	1
HOXB7	0	1	0	1
HOXC12	0	0	1	1
HOXC5	0	0	1	1
HOXC9	0	1	0	1
HOXD8	0	0	1	1
HPN	0	1	0	1
HRASLS	0	0	1	1
HSD11B1	0	1	0	1
HSD17B13	0	0	1	1
HSD17B4	0	0	1	1
HSF2	0	0	1	1
HSP90AB1	0	1	0	1
HSPA2	0	1	0	1
HSPA5	0	0	1	1
HSPB7	0	0	1	1
HTRA2	0	1	0	1
HUS1	0	1	0	1
ICK	0	1	0	1
IDNK	0	0	1	1
IDS	1	0	0	1
IER3	0	0	1	1
IFI16	0	0	1	1
IFI30	0	0	1	1
IFI44L	0	0	1	1
IFI6	0	1	0	1
IFIT2	0	0	1	1
IFIT3	0	0	1	1
IFNAR1	0	0	1	1
IFNB1	0	1	0	1
IFNGR1	0	0	1	1
IGF2BP2	0	0	1	1
IK	0	0	1	1
IKZF5	0	1	0	1
IL12B	0	1	0	1
IL23A	1	0	0	1
IL27	0	1	0	1
IL27RA	0	0	1	1
IL31	0	1	0	1
IL37	0	0	1	1
IL4	0	1	0	1
IL6ST	0	0	1	1
IL7	1	0	0	1
ILKAP	0	1	0	1
IMPDH2	0	1	0	1
INCA1	1	0	0	1
ING2	0	0	1	1
INO80C	0	0	1	1
INPP4A	0	0	1	1
INS-IGF2	0	1	0	1
INSYN2B	0	1	0	1
IQGAP3	0	1	0	1
IQUB	0	1	0	1
IRAK2	0	1	0	1
IRF7	0	1	0	1
IRS1	0	1	0	1
IRS4	0	1	0	1
IRX4	0	0	1	1
ISG20	0	1	0	1
ITGA2	0	1	0	1
ITGA3	0	1	0	1
ITGB4	0	1	0	1
ITK	1	0	0	1
ITLN1	0	0	1	1
ITM2A	0	0	1	1
ITM2B	0	1	0	1
ITPKA	0	1	0	1
ITPKB	0	0	1	1
ITPRID2	0	1	0	1
JAG1	0	1	0	1
JMJD6	0	1	0	1
JPH3	0	0	1	1
JUND	0	1	0	1
JUP	0	0	1	1
KAT2A	0	1	0	1
KAT6B	0	0	1	1
KAT7	0	1	0	1
KBTBD11	0	0	1	1
KCNA10	1	0	0	1
KCNA3	0	0	1	1
KCNH2	0	1	0	1
KCNJ11	0	1	0	1
KCNJ2	0	1	0	1
KCNJ3	0	1	0	1
KCNK9	0	1	0	1
KCNN2	0	1	0	1
KCNT1	0	1	0	1
KCTD21	0	0	1	1
KDM5D	0	0	1	1
KHDRBS1	0	1	0	1
KHK	1	0	0	1
KHSRP	0	1	0	1
KIAA0100	0	0	1	1
KIAA1549	0	1	0	1
KIF1B	0	1	0	1
KIF23	0	1	0	1
KIF5A	1	0	0	1
KIFC1	0	1	0	1
KIRREL1	0	1	0	1
KLF7	0	1	0	1
KLLN	0	0	1	1
KLRK1	0	1	0	1
KPNA4	0	1	0	1
KRT13	0	0	1	1
KRT17	0	1	0	1
KRT18	0	0	1	1
KRT5	1	0	0	1
KRT6A	0	1	0	1
LACRT	0	1	0	1
LACTB	0	0	1	1
LAMC2	0	0	1	1
LANCL1	0	1	0	1
LARP1	0	1	0	1
LARS2	0	1	0	1
LCOR	0	0	1	1
LDB1	0	0	1	1
LDLR	0	1	0	1
LDLRAP1	0	0	1	1
LEF1	0	1	0	1
LEFTY2	0	0	1	1
LGALS1	0	1	0	1
LGALS4	1	0	0	1
LGALSL	0	1	0	1
LHX3	0	1	0	1
LHX4	0	1	0	1
LHX8	0	1	0	1
LILRB2	1	0	0	1
LIMK1	0	1	0	1
LIMK2	0	1	0	1
LITAF	0	0	1	1
LMBR1	0	1	0	1
LMNB1	0	0	1	1
LMX1A	0	0	1	1
LMX1B	0	1	0	1
LNX2	0	1	0	1
LOXL1	0	0	1	1
LOXL4	0	1	0	1
LPAR3	1	0	0	1
LPAR6	0	1	0	1
LPCAT2	1	0	0	1
LPL	0	0	1	1
LRP6	0	1	0	1
LRRC1	0	1	0	1
LRRK2	0	1	0	1
LSR	1	0	0	1
LYPD4	0	1	0	1
MACROD1	0	1	0	1
MAD2L1	0	1	0	1
MAD2L2	0	0	1	1
MADD	1	0	0	1
MAFF	0	1	0	1
MAGEC2	0	1	0	1
MAL2	0	1	0	1
MAN1C1	0	0	1	1
MAP2	0	0	1	1
MAP2K3	0	0	1	1
MAP3K13	0	1	0	1
MAP3K2	0	0	1	1
MAP3K21	1	0	0	1
MAP3K6	0	1	0	1
MAP4K3	0	0	1	1
MAP9	0	1	0	1
MAPK13	0	0	1	1
MAPK3	0	1	0	1
MAPK8IP3	0	1	0	1
MAPKAP1	1	0	0	1
MAPKAPK3	0	1	0	1
MAPKAPK5	0	1	0	1
MARCH5	0	1	0	1
MARS	0	1	0	1
MARVELD1	0	0	1	1
MARVELD2	0	1	0	1
MAS1	0	1	0	1
MAST1	0	1	0	1
MAT2A	0	1	0	1
MBD1	0	0	1	1
MBD2	0	0	1	1
MBD3	0	1	0	1
MBL2	1	0	0	1
MBNL2	0	0	1	1
MBNL3	0	1	0	1
MCM2	0	1	0	1
MCM3	0	1	0	1
MCM4	1	0	0	1
MCUB	0	1	0	1
MED23	0	1	0	1
MED29	0	1	0	1
MEF2A	0	0	1	1
MEF2B	0	1	0	1
MEGF10	0	0	1	1
MEIOB	0	1	0	1
MEIS2	1	0	0	1
MEP1A	0	1	0	1
METTL7A	0	0	1	1
MFHAS1	0	1	0	1
MFSD2A	0	0	1	1
MFSD4A	0	0	1	1
MGA	0	0	1	1
MGAT3	0	1	0	1
MIA2	0	0	1	1
MICA	0	1	0	1
MICAL2	0	1	0	1
MINDY3	0	0	1	1
MKLN1	1	0	0	1
MKNK2	0	1	0	1
MLF1	0	1	0	1
MMP1	0	1	0	1
MMP10	0	1	0	1
MMP11	0	1	0	1
MMP24	1	0	0	1
MMP8	0	0	1	1
MMS22L	0	1	0	1
MNAT1	0	1	0	1
MON1B	0	1	0	1
MORC2	0	1	0	1
MPC1	0	0	1	1
MRAS	0	1	0	1
MRC2	0	1	0	1
MRM2	0	1	0	1
MRO	0	1	0	1
MRPL42	0	1	0	1
MRPL48	0	0	1	1
MS4A3	1	0	0	1
MSH3	0	0	1	1
MSLN	0	1	0	1
MSMB	0	0	1	1
MSR1	0	1	0	1
MSX2	0	1	0	1
MT1E	0	0	1	1
MT1F	0	0	1	1
MT1X	0	0	1	1
MTA2	0	1	0	1
MTMR14	0	1	0	1
MUC13	0	1	0	1
MUC5AC	0	1	0	1
MUC6	0	0	1	1
MUL1	0	0	1	1
MUTYH	0	1	0	1
MXD1	0	0	1	1
MYBBP1A	0	1	0	1
MYCBP2	0	1	0	1
MYCNOS	0	1	0	1
MYF5	0	1	0	1
MYLK	0	1	0	1
MYOF	1	0	0	1
MZB1	0	0	1	1
N4BP2L1	0	1	0	1
NAA10	0	1	0	1
NAB2	0	1	0	1
NABP1	0	1	0	1
NAGA	0	0	1	1
NAIF1	0	0	1	1
NAT10	0	1	0	1
NAV3	0	0	1	1
NBEAL2	1	0	0	1
NCK1	1	0	0	1
NCOA1	0	1	0	1
NCOA5	0	1	0	1
NCOA6	0	0	1	1
NDST3	0	0	1	1
NDUFA13	0	0	1	1
NDUFA4	0	1	0	1
NEFL	0	0	1	1
NEFM	0	0	1	1
NEK8	0	1	0	1
NEURL1	0	0	1	1
NEUROG2	0	1	0	1
NFATC3	0	0	1	1
NFATC4	0	1	0	1
NFIA	0	1	0	1
NFIC	0	1	0	1
NFKBIA	0	0	1	1
NFKBIB	0	0	1	1
NFKBIE	1	0	0	1
NFS1	1	0	0	1
NFYA	0	1	0	1
NFYC	0	1	0	1
NINL	0	1	0	1
NKAIN2	0	0	1	1
NKAP	0	1	0	1
NKX3-2	0	1	0	1
NLRC4	1	0	0	1
NLRP6	0	0	1	1
NLRX1	0	0	1	1
NNAT	0	0	1	1
NOL3	0	0	1	1
NOL4	0	0	1	1
NOP56	0	1	0	1
NOS1	0	1	0	1
NOX1	0	1	0	1
NOX4	0	1	0	1
NPPA	0	0	1	1
NR0B1	0	1	0	1
NR2E3	0	1	0	1
NR2F6	1	0	0	1
NR5A1	0	0	1	1
NRBP1	0	0	1	1
NRDC	0	1	0	1
NRL	0	1	0	1
NRN1	0	1	0	1
NRP1	0	0	1	1
NRSN2	0	0	1	1
NTN4	0	0	1	1
NUCB2	0	1	0	1
NUCKS1	0	1	0	1
NUDCD1	0	1	0	1
NUDT21	0	1	0	1
NUF2	0	1	0	1
NUP153	0	1	0	1
NUPR1	0	1	0	1
NUS1	0	1	0	1
OBSCN	1	0	0	1
OCM	0	1	0	1
OGG1	0	0	1	1
OLIG2	0	1	0	1
OMD	0	1	0	1
ONECUT2	1	0	0	1
OPN1MW	0	1	0	1
OPRK1	0	0	1	1
OPRM1	0	1	0	1
ORM2	0	0	1	1
OSGIN1	0	0	1	1
OSMR	0	0	1	1
OSTM1	0	1	0	1
PABPC1L	0	1	0	1
PACS1	0	1	0	1
PAF1	0	0	1	1
PAFAH1B3	1	0	0	1
PAIP2B	0	0	1	1
PAK5	0	1	0	1
PAM	0	1	0	1
PAMR1	0	0	1	1
PANX1	0	0	1	1
PANX2	0	0	1	1
PAOX	0	0	1	1
PARP12	0	0	1	1
PARP15	0	0	1	1
PARP6	0	0	1	1
PARPBP	0	1	0	1
PAX7	0	1	0	1
PAX8	0	0	1	1
PBLD	0	0	1	1
PBOV1	0	1	0	1
PBX3	0	0	1	1
PCDHB3	0	0	1	1
PCF11	1	0	0	1
PCMT1	0	1	0	1
PCSK2	1	0	0	1
PCSK7	0	1	0	1
PDC	0	1	0	1
PDCD1	0	1	0	1
PDE3A	0	1	0	1
PDE4B	0	1	0	1
PDE4D	0	0	1	1
PDE6D	0	1	0	1
PDGFRL	0	0	1	1
PDHB	0	1	0	1
PDRG1	0	1	0	1
PDZK1	0	1	0	1
PDZRN4	0	0	1	1
PEAK1	0	1	0	1
PECAM1	0	1	0	1
PEPE	0	0	1	1
PERP	0	0	1	1
PFKFB3	0	1	0	1
PFN2	0	1	0	1
PGC	0	0	1	1
PGM1	0	0	1	1
PHACTR4	0	0	1	1
PHB2	0	0	1	1
PHF1	0	0	1	1
PHF13	0	1	0	1
PHF19	0	1	0	1
PHF20	0	1	0	1
PHF20L1	0	1	0	1
PHF21B	0	1	0	1
PHF5A	1	0	0	1
PHIP	0	0	1	1
PI15	0	1	0	1
PI4K2B	0	0	1	1
PIAS3	0	0	1	1
PIGA	0	1	0	1
PIK3R2	0	1	0	1
PIK3R3	0	0	1	1
PIP	0	1	0	1
PIWIL2	0	1	0	1
PIWIL3	0	1	0	1
PKHD1	0	0	1	1
PKMYT1	0	1	0	1
PKN2	0	0	1	1
PKNOX2	0	0	1	1
PKP3	0	1	0	1
PLA2G7	0	1	0	1
PLCB1	0	0	1	1
PLCG1	0	1	0	1
PLD2	0	1	0	1
PLEKHA2	0	1	0	1
PLOD2	0	1	0	1
PLS3	0	1	0	1
PLXNA3	1	0	0	1
PMM2	1	0	0	1
PMP2	1	0	0	1
PMP22	0	1	0	1
PNCK	0	1	0	1
PNO1	0	1	0	1
PNPLA2	1	0	0	1
POLD1	1	0	0	1
POLDIP2	0	1	0	1
POLDIP3	0	1	0	1
POLR2C	0	1	0	1
PON1	1	0	0	1
POU1F1	0	1	0	1
POU2F1	0	1	0	1
POU3F3	0	1	0	1
POU5F1B	0	1	0	1
PPBP	0	1	0	1
PPM1F	0	1	0	1
PPM1K	0	1	0	1
PPME1	1	0	0	1
PPP1R14A	0	0	1	1
PPP1R18	0	0	1	1
PPP1R7	0	0	1	1
PPP1R9A	1	0	0	1
PPP2CA	0	1	0	1
PPP2R1A	0	1	0	1
PPP2R2A	0	1	0	1
PPP2R2D	0	0	1	1
PPP2R3B	0	0	1	1
PPP3CC	1	0	0	1
PPP5C	0	1	0	1
PRAF2	0	1	0	1
PRB1	0	1	0	1
PRDX3	0	0	1	1
PRDX4	1	0	0	1
PRDX6	0	0	1	1
PREX2	1	0	0	1
PRKAA2	0	0	1	1
PRKACA	1	0	0	1
PRKAR2B	0	1	0	1
PRKCD	0	1	0	1
PRKD3	0	1	0	1
PRKG1	0	0	1	1
PRMT9	0	1	0	1
PROCR	0	0	1	1
PRPF31	0	0	1	1
PRPF6	1	0	0	1
PRPSAP2	0	1	0	1
PRR14	0	1	0	1
PRR5	0	0	1	1
PRRX1	0	0	1	1
PRSS21	0	0	1	1
PSD	0	0	1	1
PSG9	1	0	0	1
PSMA7	1	0	0	1
PSMB9	0	1	0	1
PSMC2	0	1	0	1
PSMD14	0	1	0	1
PSMD4	0	1	0	1
PSME3	0	1	0	1
PTBP2	0	1	0	1
PTCH2	1	0	0	1
PTCHD3	0	0	1	1
PTER	0	0	1	1
PTGES2	1	0	0	1
PTGR1	0	1	0	1
PTMA	0	0	1	1
PTMS	0	0	1	1
PTPN5	0	0	1	1
PTPRH	0	1	0	1
PTPRS	0	0	1	1
PTX3	0	0	1	1
PUF60	0	1	0	1
PVR	0	1	0	1
PYROXD1	0	1	0	1
PYROXD2	0	0	1	1
QPCT	0	1	0	1
QSOX1	0	0	1	1
RAB10	0	1	0	1
RAB17	0	0	1	1
RAB21	0	1	0	1
RAB27A	0	1	0	1
RAB3B	0	1	0	1
RAB6B	0	1	0	1
RAB7A	0	1	0	1
RAB8A	0	0	1	1
RABL3	0	1	0	1
RAC2	0	1	0	1
RAD21	0	1	0	1
RAD23B	0	1	0	1
RAD50	0	0	1	1
RAD51C	0	0	1	1
RAI14	0	1	0	1
RAI2	0	0	1	1
RALBP1	0	1	0	1
RALY	0	1	0	1
RAMP1	1	0	0	1
RANBP2	0	0	1	1
RANBP6	0	0	1	1
RAPH1	0	1	0	1
RARS	0	1	0	1
RASA2	0	0	1	1
RASA3	0	0	1	1
RASD1	0	1	0	1
RASEF	0	0	1	1
RBBP5	0	1	0	1
RBBP7	0	0	1	1
RBFOX3	0	1	0	1
RBM14	0	0	1	1
RBM15	0	1	0	1
RBM25	0	0	1	1
RBMS2	0	0	1	1
RCC2	0	1	0	1
RCE1	0	0	1	1
RCHY1	0	1	0	1
RD3	1	0	0	1
RDX	0	0	1	1
REC8	0	0	1	1
RECQL4	0	0	1	1
RETN	0	1	0	1
RFC3	0	1	0	1
RFC4	0	1	0	1
RGS12	0	0	1	1
RGS22	0	0	1	1
RGS4	1	0	0	1
RGS6	0	0	1	1
RHBDF1	0	1	0	1
RHCG	0	0	1	1
RHOBTB1	0	0	1	1
RHOF	0	0	1	1
RHOG	0	1	0	1
RHOT1	0	0	1	1
RHOV	0	1	0	1
RIOK1	0	1	0	1
RIOX1	0	1	0	1
RIPK3	0	0	1	1
RLF	0	1	0	1
RLIM	0	0	1	1
RNASEL	0	0	1	1
RNASET2	0	0	1	1
RND1	1	0	0	1
RNF126	0	0	1	1
RNF128	0	0	1	1
RNF139	0	0	1	1
RNF146	0	1	0	1
RNF180	0	0	1	1
RNF183	0	1	0	1
RNF2	0	1	0	1
RNF38	1	0	0	1
RNF40	0	0	1	1
RNMT	1	0	0	1
ROCK2	0	1	0	1
ROR2	0	0	1	1
RP1L1	0	1	0	1
RPL13	0	1	0	1
RPL34	0	1	0	1
RPL36	0	0	1	1
RPL37A	0	1	0	1
RPL6	0	1	0	1
RPL7A	0	1	0	1
RPS14	0	0	1	1
RPS15	1	0	0	1
RPS15A	0	1	0	1
RPS18	0	1	0	1
RPS6	0	1	0	1
RPS6KA1	0	0	1	1
RPS6KC1	0	1	0	1
RPS9	0	1	0	1
RSRC2	0	0	1	1
RTKN	0	1	0	1
RTKN2	0	1	0	1
RTL10	1	0	0	1
RTN4	0	0	1	1
RTRAF	0	1	0	1
RUVBL1	0	1	0	1
RXRA	1	0	0	1
RYK	0	1	0	1
RYR1	0	1	0	1
S100A10	0	1	0	1
